POCO,OPERADOR,ESTADO,BACIA,CAMPO,TERRA_MAR,CATEGORIA,SITUACAO,CONCLUSAO,TITULARIDADE
7-ET-105-RN,Petrobras,RN,Potiguar,ESTREITO,T,Desenvolvimento,ARRASADO,6/7/83 0:00,Público
7-FP-45-RN,Petrobras,RN,Potiguar,FAZENDA POCINHO,T,Desenvolvimento,ARRASADO,6/20/83 0:00,Público
9-MLS-58D-RJS,Petrobras,RJ,Campos,MARLIM SUL,M,Especial,ABANDONADO PERMANENTEMENTE,6/15/02 0:00,Público
6-RJS-459-RJ,Petrobras,RJ,Campos,BARRACUDA,M,Jazida Mais Profunda,"ABANDONADO/PARADO AGUARDANDO INTERVENÇÃO PARA AVALIAÇÃO, COMPLETAÇÃO OU RESTAURAÇÃO",4/18/93 0:00,Público
4-BRSA-287-RJS,Petrobras,RJ,Campos,ALBACORA LESTE,M,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,8/8/04 0:00,Público
4-RJS-446-RJ,Petrobras,RJ,Campos,MARLIM LESTE,M,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,12/21/94 0:00,Público
9-MLL-15D-RJS,Petrobras,RJ,Campos,MARLIM LESTE,M,Especial,ABANDONADO PERMANENTEMENTE,8/1/04 0:00,Público
9-RO-51D-RJS,Petrobras,RJ,Campos,RONCADOR,M,Especial,ABANDONADO PERMANENTEMENTE,10/16/04 0:00,Público
4-BRSA-287A-RJS,Petrobras,RJ,Campos,ALBACORA LESTE,M,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,8/8/04 0:00,Público
3-BRSA-292-RJS,Petrobras,RJ,Campos,,M,Extensão,"ABANDONADO/PARADO AGUARDANDO INTERVENÇÃO PARA AVALIAÇÃO, COMPLETAÇÃO OU RESTAURAÇÃO",9/18/04 0:00,Público
9-ABL-53D-RJS,Petrobras,RJ,Campos,ALBACORA LESTE,M,Especial,ABANDONADO PERMANENTEMENTE,8/27/04 0:00,Público
8-MLL-16HP-RJS,Petrobras,RJ,Campos,MARLIM LESTE,M,Injeção,ABANDONADO PERMANENTEMENTE,8/14/04 0:00,Público
9-ABL-47D-RJS,Petrobras,RJ,Campos,ALBACORA LESTE,M,Especial,ABANDONADO PERMANENTEMENTE,8/22/04 0:00,Público
8-MLL-16HPA-RJS,Petrobras,RJ,Campos,MARLIM LESTE,M,Injeção,ABANDONADO PERMANENTEMENTE,8/31/04 0:00,Público
3-CRT-5-RJS,Petrobras,RJ,Campos,CARATINGA,M,Extensão,"ABANDONADO/PARADO AGUARDANDO INTERVENÇÃO PARA AVALIAÇÃO, COMPLETAÇÃO OU RESTAURAÇÃO",2/19/95 0:00,Público
8-MLL-16HPB-RJS,Petrobras,RJ,Campos,MARLIM LESTE,M,Injeção,ABANDONADO PERMANENTEMENTE,9/11/04 0:00,Público
9-RO-49DA-RJS,Petrobras,RJ,Campos,RONCADOR,M,Especial,ABANDONADO PERMANENTEMENTE,11/13/04 0:00,Público
3-BRSA-306-RJS,Petrobras,RJ,Campos,,M,Extensão,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,10/13/04 0:00,Público
8-MLL-16HPC-RJS,Petrobras,RJ,Campos,MARLIM LESTE,M,Injeção,ABANDONADO PERMANENTEMENTE,9/23/04 0:00,Público
9-PEC-84-SE,Petrobras,SE,Sergipe,SIRIRIZINHO,T,Especial,ABANDONADO PERMANENTEMENTE,10/11/80 0:00,Público
9-PEC-93-SE,Petrobras,SE,Sergipe,SIRIRIZINHO,T,Especial,ABANDONADO PERMANENTEMENTE,12/11/80 0:00,Público
9-PEC-94-SE,Petrobras,SE,Sergipe,SIRIRIZINHO,T,Especial,ABANDONADO PERMANENTEMENTE,12/14/80 0:00,Público
9-PEO-6-SE,Petrobras,SE,Sergipe,MATO GROSSO,T,Especial,ABANDONADO PERMANENTEMENTE,10/11/80 0:00,Público
9-PEC-6-SE,Petrobras,SE,Sergipe,CASTANHAL,T,Especial,ABANDONADO PERMANENTEMENTE,10/23/78 0:00,Público
9-PKC-13-SE,Petrobras,SE,Sergipe,CARMÓPOLIS,T,Especial,ABANDONADO PERMANENTEMENTE,1/6/69 0:00,Público
3-GA-10-SES,Petrobras,SE,Sergipe,GUARICEMA,M,Extensão,ABANDONADO PERMANENTEMENTE,3/28/70 0:00,Público
4-SES-44-SE,Petrobras,SE,Sergipe,CAIOBA,M,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,4/6/77 0:00,Público
7-CB-19D-SES,Petrobras,SE,Sergipe,CAIOBA,M,Desenvolvimento,ABANDONADO PERMANENTEMENTE,2/23/77 0:00,Público
7-CM-24-SES,Petrobras,SE,Sergipe,CAMORIM,M,Desenvolvimento,ABANDONADO PERMANENTEMENTE,7/10/77 0:00,Público
7-CM-26D-SES,Petrobras,SE,Sergipe,CAMORIM,M,Desenvolvimento,ABANDONADO PERMANENTEMENTE,5/2/80 0:00,Público
7-CB-20D-SES,Petrobras,SE,Sergipe,CAIOBA,M,Desenvolvimento,ABANDONADO PERMANENTEMENTE,10/11/78 0:00,Público
3-DO-15-SES,Petrobras,SE,Sergipe,DOURADO,M,Extensão,ABANDONADO PERMANENTEMENTE,9/15/78 0:00,Público
1-SES-34-SES,Petrobras,SE,Sergipe,GUARICEMA,M,Pioneiro,ARRASADO,12/13/78 0:00,Público
7-CB-22D-SES,Petrobras,SE,Sergipe,CAIOBA,M,Desenvolvimento,ABANDONADO PERMANENTEMENTE,5/15/79 0:00,Público
3-GA-43-SES,Petrobras,SE,Sergipe,GUARICEMA,M,Extensão,ABANDONADO PERMANENTEMENTE,6/30/79 0:00,Público
7-GMR-15-RN,Petrobras,RN,Potiguar,GUAMARÉ,T,Desenvolvimento,ARRASADO,12/20/83 0:00,Público
7-FP-77-RN,Petrobras,RN,Potiguar,FAZENDA POCINHO,T,Desenvolvimento,ARRASADO,12/23/83 0:00,Público
7-GMR-17-RN,Petrobras,RN,Potiguar,GUAMARÉ,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,1/3/84 0:00,Público
9-RBUA-7-BA,Petrobras,BA,Recôncavo,RIO DO BU,T,Especial,ABANDONADO PERMANENTEMENTE,3/25/93 0:00,Público
7-MG-491P-BA,Petrobras,BA,Recôncavo,MIRANGA,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,7/13/09 0:00,Público
4-SC-9-BA,Petrobras,BA,Recôncavo,SOCORRO EXTENSÃO,T,Pioneiro Adjacente,ARRASADO,3/22/69 0:00,Público
7-CX-89D-BA,Petrobras,BA,Recôncavo,CEXIS,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,1/10/09 0:00,Público
7-MJ-39-BA,Petrobras,BA,Recôncavo,MATA DE SÃO JOÃO,T,Desenvolvimento,ARRASADO,3/7/69 0:00,Público
7-MG-494P-BA,Petrobras,BA,Recôncavo,MIRANGA,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,2/22/09 0:00,Público
